profile_id,model,rank,resource_id,title,provider,score,explanation
P003,hybrid,4,R095,Mini Project Build a Tested REST API,freeCodeCamp,0.6696,"Recommended because it targets skill gaps in apis, testing, databases; its difficulty matches the learner's current level."
P003,hybrid,5,R055,Database Clients and ORM Basics,Coursera,0.6442,"Recommended because it targets skill gaps in apis, sql, databases; its difficulty matches the learner's current level."
P004,hybrid,1,R025,Google Data Analytics Foundations,Coursera,0.707,"Recommended because it targets skill gaps in data_cleaning, data_visualisation, sql; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
P004,hybrid,2,R003,Excel Skills for Business,Coursera,0.685,"Recommended because it targets skill gaps in dashboards, data_cleaning, excel; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
P004,hybrid,3,R028,Power BI Dashboard Basics,DataCamp,0.6843,"Recommended because it targets skill gaps in dashboards, data_cleaning, data_visualisation; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
P004,hybrid,4,R092,Mini Project Build an Interactive Dashboard,DataCamp,0.6786,"Recommended because it targets skill gaps in dashboards, data_cleaning, data_visualisation; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
P004,hybrid,5,R091,Mini Project Analyse Sales Data with SQL,Coursera,0.6678,"Recommended because it targets skill gaps in data_cleaning, sql, statistics; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
P005,hybrid,1,R039,MLOps Fundamentals,DataCamp,0.6953,"Recommended because it targets skill gaps in deployment, model_evaluation, python; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
P005,hybrid,2,R038,Machine Learning Pipelines,Coursera,0.6728,"Recommended because it targets skill gaps in deployment, model_evaluation, python; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
P005,hybrid,3,R041,MLflow Experiment Tracking,DataCamp,0.6644,"Recommended because it targets skill gaps in deployment, model_evaluation, python; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
P005,hybrid,4,R069,DataCamp Module ML API Deployment,DataCamp,0.6541,"Recommended because it targets skill gaps in deployment, apis, python; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
P005,hybrid,5,R011,Deploying Machine Learning APIs,Udemy,0.6533,"Recommended because it targets skill gaps in deployment, apis, python; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
P006,hybrid,1,R056,Software Engineering Principles,edX,0.6752,"Recommended because it targets skill gaps in version_control, testing, oop; the learner appears to meet the prerequisites."
P006,hybrid,2,R057,Build a REST API Project,YouTube,0.6632,"Recommended because it targets skill gaps in apis, testing, databases; the learner appears to meet the prerequisites."
P006,hybrid,3,R034,Relational Databases for Beginners,freeCodeCamp,0.6255,"Recommended because it targets skill gaps in databases, sql; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
P006,hybrid,4,R016,Software Testing Fundamentals,Udacity,0.6224,"Recommended because it targets skill gaps in testing, programming; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
P006,hybrid,5,R073,freeCodeCamp Module Quality Assurance Testing,freeCodeCamp,0.6215,"Recommended because it targets skill gaps in apis, testing, programming; the learner appears to meet the prerequisites."
P007,hybrid,1,R026,IBM Data Analyst Capstone,Coursera,0.724,"Recommended because it targets skill gaps in dashboards, excel, python; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
P007,hybrid,2,R029,Exploratory Data Analysis in Python,Kaggle Learn,0.7169,"Recommended because it targets skill gaps in statistics, data_cleaning, data_visualisation; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
P007,hybrid,3,R075,DataCamp Module Data Analyst Case Study,DataCamp,0.6998,"Recommended because it targets skill gaps in data_cleaning, data_visualisation, python; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
P007,hybrid,4,R017,Python for Data Visualisation,DataCamp,0.6687,"Recommended because it targets skill gaps in dashboards, data_visualisation, python; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
P007,hybrid,5,R025,Google Data Analytics Foundations,Coursera,0.6682,"Recommended because it targets skill gaps in data_cleaning, excel, data_visualisation; the learner appears to meet the prerequisites."
P008,hybrid,1,R029,Exploratory Data Analysis in Python,Kaggle Learn,0.6694,"Recommended because it targets skill gaps in statistics, python, data_cleaning; the learner appears to meet the prerequisites."
P008,hybrid,2,R044,Feature Selection and Validation,Kaggle Learn,0.6572,"Recommended because it targets skill gaps in statistics, machine_learning, model_evaluation."
P008,hybrid,3,R035,Python Data Science Handbook,University Open Course,0.6515,"Recommended because it targets skill gaps in statistics, machine_learning, python; the learner appears to meet the prerequisites."
P008,hybrid,4,R023,Practical Feature Engineering,Kaggle Learn,0.6419,"Recommended because it targets skill gaps in machine_learning, model_evaluation, python."
P008,hybrid,5,R093,Mini Project Customer Churn Model,Kaggle Learn,0.6389,"Recommended because it targets skill gaps in machine_learning, model_evaluation, python."
P009,hybrid,1,R093,Mini Project Customer Churn Model,Kaggle Learn,0.7417,"Recommended because it targets skill gaps in model_evaluation, machine_learning, python; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
P009,hybrid,2,R023,Practical Feature Engineering,Kaggle Learn,0.7401,"Recommended because it targets skill gaps in model_evaluation, machine_learning, python; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
P009,hybrid,3,R044,Feature Selection and Validation,Kaggle Learn,0.7396,"Recommended because it targets skill gaps in model_evaluation, machine_learning, python; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
P009,hybrid,4,R036,Supervised Learning with Scikit Learn,DataCamp,0.7105,"Recommended because it targets skill gaps in model_evaluation, machine_learning, python; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
P009,hybrid,5,R009,Machine Learning Model Evaluation,DataCamp,0.7073,"Recommended because it targets skill gaps in model_evaluation, machine_learning, statistics; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
P010,hybrid,1,R096,Mini Project Version-Controlled CLI Tool,YouTube,0.6619,"Recommended because it targets skill gaps in version_control, programming, python; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
P010,hybrid,2,R022,Python Project Build a CLI App,YouTube,0.6518,"Recommended because it targets skill gaps in version_control, programming, python; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
P010,hybrid,3,R034,Relational Databases for Beginners,freeCodeCamp,0.6389,"Recommended because it targets skill gaps in databases, sql; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
P010,hybrid,4,R025,Google Data Analytics Foundations,Coursera,0.6386,"Recommended because it targets skill gaps in data_cleaning, sql, data_visualisation; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
P010,hybrid,5,R027,SQL Joins and Aggregations,DataCamp,0.6374,"Recommended because it targets skill gaps in databases, sql; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
P011,hybrid,1,R055,Database Clients and ORM Basics,Coursera,0.6807,"Recommended because it targets skill gaps in apis, sql, databases; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
P011,hybrid,2,R095,Mini Project Build a Tested REST API,freeCodeCamp,0.666,"Recommended because it targets skill gaps in apis, databases, testing; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
P011,hybrid,3,R057,Build a REST API Project,YouTube,0.6609,"Recommended because it targets skill gaps in apis, programming, testing; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
P011,hybrid,4,R075,DataCamp Module Data Analyst Case Study,DataCamp,0.6576,"Recommended because it targets skill gaps in data_visualisation, python, data_cleaning; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
P011,hybrid,5,R002,Intermediate SQL Queries,DataCamp,0.6487,"Recommended because it targets skill gaps in data_cleaning, sql, databases; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
